Hereditary chronic pancreatitis,{'Deletion': '7.000000000000001%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '83.0%'}
Severe acute respiratory syndrome,{'Deletion': '5.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '92.0%'}
G�mez-L�pez-Hern�ndez syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Syndactyly-telecanthus-anogenital and renal malformations syndrome,{'Deletion': '33.0%', 'Duplication': '17.0%', 'Indel': '0.0%', 'Insertion': '17.0%', 'Single nucleotide': '33.0%'}
Autosomal dominant macrothrombocytopenia,{'Deletion': '1.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '99.0%'}
CLOVES syndrome,{'Deletion': '0.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '94.0%'}
Cutis gyrata-acanthosis nigricans-craniosynostosis syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Short stature due to primary acid-labile subunit deficiency,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Curry-Jones syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Benign familial neonatal-infantile seizures,{'Deletion': '4.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '88.0%'}
Linear atrophoderma of Moulin,{'Deletion': '8.0%', 'Duplication': '8.0%', 'Indel': '4.0%', 'Insertion': '14.000000000000002%', 'Single nucleotide': '66.0%'}
Primary angiitis of the central nervous system,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Dandy-Walker malformation-postaxial polydactyly syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
RHYNS syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Dahlberg-Borer-Newcomer syndrome,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '83.0%'}
Saldino-Mainzer syndrome,{'Deletion': '3.0%', 'Duplication': '1.0%', 'Indel': '1.0%', 'Insertion': '1.0%', 'Single nucleotide': '94.0%'}
Palmoplantar keratoderma, Nagashima type,{'Deletion': '14.000000000000002%', 'Duplication': '14.000000000000002%', 'Indel': '14.000000000000002%', 'Insertion': '28.999999999999996%', 'Single nucleotide': '28.999999999999996%'}
Dacryocystitis-osteopoikilosis syndrome,{'Deletion': '27.0%', 'Duplication': '18.0%', 'Indel': '9.0%', 'Insertion': '27.0%', 'Single nucleotide': '18.0%'}
Bilateral microtia-deafness-cleft palate syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Guanidinoacetate methyltransferase deficiency,{'Deletion': '4.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '89.0%'}
Prolidase deficiency,{'Deletion': '4.0%', 'Duplication': '4.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '88.0%'}
Lipodystrophy due to peptidic growth factors deficiency,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Knobloch syndrome,{'Deletion': '5.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '5.0%', 'Single nucleotide': '86.0%'}
Orofaciodigital syndrome type 9,{'Deletion': '33.0%', 'Duplication': '17.0%', 'Indel': '0.0%', 'Insertion': '17.0%', 'Single nucleotide': '33.0%'}
Orofaciodigital syndrome type 11,{'Deletion': '22.0%', 'Duplication': '6.0%', 'Indel': '1.0%', 'Insertion': '8.0%', 'Single nucleotide': '64.0%'}
X-linked complicated corpus callosum dysgenesis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Vici syndrome,{'Deletion': '3.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '92.0%'}
Intellectual disability-hypoplastic corpus callosum-preauricular tag syndrome,{'Deletion': '15.0%', 'Duplication': '8.0%', 'Indel': '0.0%', 'Insertion': '8.0%', 'Single nucleotide': '69.0%'}
Coxopodopatellar syndrome,{'Deletion': '4.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '91.0%'}
Thin ribs-tubular bones-dysmorphism syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Coxoauricular syndrome,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '83.0%'}
Autosomal recessive Robinow syndrome,{'Deletion': '7.000000000000001%', 'Duplication': '0.0%', 'Indel': '1.0%', 'Insertion': '1.0%', 'Single nucleotide': '92.0%'}
Hypertrichotic osteochondrodysplasia, Cantu type,{'Deletion': '5.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '89.0%'}
Craniofrontonasal dysplasia,{'Deletion': '14.000000000000002%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '86.0%'}
Craniodiaphyseal dysplasia,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Craniodigital-intellectual disability syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Autosomal dominant slowed nerve conduction velocity,{'Deletion': '0.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '95.0%'}
Cranioectodermal dysplasia,{'Deletion': '2.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '94.0%'}
Craniofacial dyssynostosis,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '84.0%'}
Craniosynostosis, Philadelphia type,{'Deletion': '3.0%', 'Duplication': '0.0%', 'Indel': '3.0%', 'Insertion': '3.0%', 'Single nucleotide': '91.0%'}
Craniotelencephalic dysplasia,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '84.0%'}
Craniofacial-deafness-hand syndrome,{'Deletion': '0.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '96.0%'}
Craniofrontonasal dysplasia-Poland anomaly syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Craniometaphyseal dysplasia,{'Deletion': '6.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '86.0%'}
Facial dysmorphism-anorexia-cachexia-eye and skin anomalies syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Flat face-microstomia-ear anomaly syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Facial dysmorphism-macrocephaly-myopia-Dandy-Walker malformation syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Faciocardiorenal syndrome,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '83.0%'}
Lethal faciocardiomelic dysplasia,{'Deletion': '3.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '94.0%'}
Autosomal recessive faciodigitogenital syndrome,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '85.0%'}
Exostoses-anetodermia-brachydactyly type E syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Extrasystoles-short stature-hyperpigmentation-microcephaly syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Dysplasia epiphysealis hemimelica,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '84.0%'}
Lowry-Wood syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Epiphyseal stippling-osteoclastic hyperplasia syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Spinocerebellar ataxia type 34,{'Deletion': '6.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '94.0%'}
Diabetic embryopathy,{'Deletion': '6.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '94.0%'}
Maternal phenylketonuria,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Emery-Nelson syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Eng-Strom syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Toluene embryopathy,{'Deletion': '50.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '50.0%'}
Phenobarbital embryopathy,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Fetal methylmercury syndrome,{'Deletion': '6.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '87.0%'}
Fetal hydantoin syndrome,{'Deletion': '6.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '87.0%'}
Fetal minoxidil syndrome,{'Deletion': '6.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '87.0%'}
Cocaine embryofetopathy,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Fetal iodine syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Diethylstilbestrol syndrome,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '83.0%'}
Fetal cytomegalovirus syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Vitamin K antagonist embryofetopathy,{'Deletion': '6.0%', 'Duplication': '94.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '0.0%'}
Fetal trimethadione syndrome,{'Deletion': '6.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '87.0%'}
EEC syndrome,{'Deletion': '4.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '92.0%'}
EEM syndrome,{'Deletion': '2.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '94.0%'}
Aminopterin/methotrexate embryofetopathy,{'Deletion': '11.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '89.0%'}
Edinburgh malformation syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Intellectual disability-spasticity-ectrodactyly syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Ectrodactyly-polydactyly syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Leukomelanoderma-infantilism-intellectual disability-hypodontia-hypotrichosis syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Focal facial dermal dysplasia type III,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Ectodermal dysplasia, trichoodontoonychial type,{'Deletion': '9.0%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '82.0%'}
Ectodermal dysplasia-sensorineural deafness syndrome,{'Deletion': '10.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '6.0%', 'Single nucleotide': '81.0%'}
Hypohidrotic ectodermal dysplasia-hypothyroidism-ciliary dyskinesia syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Congenital muscular dystrophy-infantile cataract-hypogonadism syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Jalili syndrome,{'Deletion': '3.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '95.0%'}
Melorheostosis with osteopoikilosis,{'Deletion': '33.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '67.0%'}
Hereditary bullous dystrophy, macular type,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Cone rod dystrophy,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '85.0%'}
Progressive cone dystrophy,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '86.0%'}
Thanatophoric dysplasia type 1,{'Deletion': '3.0%', 'Duplication': '0.0%', 'Indel': '3.0%', 'Insertion': '3.0%', 'Single nucleotide': '92.0%'}
Thoracic dysplasia-hydrocephalus syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Dyssegmental dysplasia, Silverman-Handmaker type,{'Deletion': '1.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '99.0%'}
Skeletal dysplasia-epilepsy-short stature syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Spondylometaphyseal dysplasia,{'Deletion': '4.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '94.0%'}
X-linked retinal dysplasia,{'Deletion': '6.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '91.0%'}
Bone dysplasia, lethal Holmgren type,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Hereditary mucoepithelial dysplasia,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Ulna metaphyseal dysplasia syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Mesomelic dysplasia, Kantaputra type,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Axial mesodermal dysplasia spectrum,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Schimke immuno-osseous dysplasia,{'Deletion': '5.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '90.0%'}
Epiphyseal dysplasia-hearing loss-dysmorphism syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Multiple epiphyseal dysplasia,{'Deletion': '6.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '88.0%'}
Odontomicronychial dysplasia,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '84.0%'}
Hidrotic ectodermal dysplasia, Christianson-Fourie type,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Hidrotic ectodermal dysplasia, Halal type,{'Deletion': '4.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '93.0%'}
Ectodermal dysplasia-blindness syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Ghosal hematodiaphyseal dysplasia,{'Deletion': '33.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '67.0%'}
Thoracomelic dysplasia,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '84.0%'}
Dysostosis, Stanescu type,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Familial developmental dysphasia,{'Deletion': '3.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '97.0%'}
Oculomaxillofacial dysostosis,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Hemimelia,{'Deletion': '17.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '83.0%'}
Hennekam syndrome,{'Deletion': '4.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '89.0%'}
46,XX ovotesticular disorder of sex development,{'Deletion': '4.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '89.0%'}
Hern�ndez-Aguirre Negrete syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Diaphragmatic defect-limb deficiency-skull defect syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Donnai-Barrow syndrome,{'Deletion': '3.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '93.0%'}
Craniosynostosis, Herrmann-Opitz type,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Nodular neuronal heterotopia,{'Deletion': '4.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '90.0%'}
Lissencephaly type 1 due to doublecortin gene mutation,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Hemophagocytic syndrome associated with an infection,{'Deletion': '10.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '84.0%'}
Acquired hemophagocytic lymphohistiocytosis associated with malignant disease,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Hallermann-Streiff syndrome,{'Deletion': '33.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '67.0%'}
Macrophage activation syndrome,{'Deletion': '9.0%', 'Duplication': '66.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '25.0%'}
Hall-Riggs syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Hallux varus-preaxial polysyndactyly syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Cystic hamartoma of lung and kidney,{'Deletion': '12.0%', 'Duplication': '0.0%', 'Indel': '6.0%', 'Insertion': '12.0%', 'Single nucleotide': '69.0%'}
Harrod syndrome,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '86.0%'}
Hip dysplasia, Beukes type,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Short stature-craniofacial anomalies-genital hypoplasia syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Hartsfield syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
HEC syndrome,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '83.0%'}
Diffuse neonatal hemangiomatosis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Benign cephalic histiocytosis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
GMS syndrome,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '83.0%'}
Generalized eruptive histiocytosis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Multinodular goiter-cystic kidney-polydactyly syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Gordon syndrome,{'Deletion': '5.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '88.0%'}
Focal dermal hypoplasia,{'Deletion': '17.0%', 'Duplication': '10.0%', 'Indel': '3.0%', 'Insertion': '13.0%', 'Single nucleotide': '56.99999999999999%'}
Juvenile xanthogranuloma,{'Deletion': '50.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '50.0%'}
Acromesomelic dysplasia, Grebe type,{'Deletion': '4.0%', 'Duplication': '4.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '88.0%'}
Hereditary progressive mucinous histiocytosis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Greig cephalopolysyndactyly syndrome,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '85.0%'}
Gorlin-Chaudhry-Moss syndrome,{'Deletion': '50.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '50.0%'}
Rosa�-Dorfman disease,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Grant syndrome,{'Deletion': '0.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '95.0%'}
Grubben-de Cock-Borghgraef syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Dysmorphism-pectus carinatum-joint laxity syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Hemophagocytic syndrome,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '87.0%'}
Gastrocutaneous syndrome,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '83.0%'}
Neuroferritinopathy,{'Deletion': '3.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '90.0%'}
Craniorhiny,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
GAPO syndrome,{'Deletion': '0.0%', 'Duplication': '8.0%', 'Indel': '0.0%', 'Insertion': '8.0%', 'Single nucleotide': '85.0%'}
Paroxysmal hemicrania,{'Deletion': '5.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '89.0%'}
Galloway-Mowat syndrome,{'Deletion': '2.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '90.0%'}
Genitopalatocardiac syndrome,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '83.0%'}
Gemignani syndrome,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '83.0%'}
Pantothenate kinase-associated neurodegeneration,{'Deletion': '11.0%', 'Duplication': '4.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '81.0%'}
Gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome,{'Deletion': '5.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '88.0%'}
ANE syndrome,{'Deletion': '25.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '75.0%'}
Oculoauricular syndrome, Schorderet type,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Huntington disease-like 3,{'Deletion': '5.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '95.0%'}
Geroderma osteodysplastica,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '3.0%', 'Insertion': '5.0%', 'Single nucleotide': '82.0%'}
German syndrome,{'Deletion': '15.0%', 'Duplication': '5.0%', 'Indel': '0.0%', 'Insertion': '6.0%', 'Single nucleotide': '73.0%'}
Congenital muscular dystrophy due to LMNA mutation,{'Deletion': '0.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '94.0%'}
Glaucoma-sleep apnea syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Glaucoma-ectopia lentis-microspherophakia-stiff joints-short stature syndrome,{'Deletion': '4.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '92.0%'}
SLC39A13-related spondylodysplastic Ehlers-Danlos syndrome,{'Deletion': '3.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '97.0%'}
Prominent glabella-microcephaly-hypogenitalism syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
